what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213001616
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213011895
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213014566
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213015384
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213022945
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213155406
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213161984
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213163006
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213176360
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213182221
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213184310
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1298213189838
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1298213190514
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1298213193808
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213196218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213199190
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213200428
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213206829
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213216298
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213219120
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213222978
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213230461
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1298213230685
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298213277790
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213361321
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213383890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213658780
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213670293
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213686429
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213720756
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298213740213
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213743753
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213744283
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213745040
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213748793
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213837639
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213840864
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1298213844815
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1298213867475
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213879272
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1298213893940
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1298213893983
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213894033
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1298213894064
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213896723
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213917282
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1298213918598
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298213922774
