what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298717250866
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1298717278092
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298717282260
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298717283952
error,log,,,"Designer [8.0.0.r35x201009160631]: java.lang.NullPointerException",1298717284204
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298717292866
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298717300840
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1298717302380
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298717302380
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1298717302395
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298717304152
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298717310593
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298717311783
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298717369634
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298717383190
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298717383469
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1298717406661
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298717440685
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298717498777
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298717499226
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298717866194
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298717866955
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298717924125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298717924522
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298718046820
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298718047080
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298718217291
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298718218295
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298718220958
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298718221246
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298718245094
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298718256817
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298718257984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298718764909
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298718766676
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298718862377
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298718864336
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298719374948
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298719387109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298722907945
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298722910441
stopped,bundle,org.eclipse.team.cvs.ssh2,3.2.200.I20090508-2000,"org.eclipse.team.cvs.ssh2",1298722915104
stopped,bundle,org.eclipse.team.cvs.ssh,3.2.100.I20090508-2000,"org.eclipse.team.cvs.ssh",1298722915216
stopped,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1298722915217
stopped,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1298722915217
stopped,bundle,org.eclipse.jsch.ui,1.1.200.r35x_20100210-1114,"org.eclipse.jsch.ui",1298722915311
stopped,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1298722915312
stopped,bundle,org.eclipse.help.webapp,3.4.1.v20091009_35x,"org.eclipse.help.webapp",1298722915419
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1298722915467
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1298722915511
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1298722915678
stopped,bundle,com.instantiations.designer.rcp.databinding.xwt,8.0.0.r35x201009160656,"com.instantiations.designer.rcp.databinding.xwt",1298722915752
stopped,bundle,com.instantiations.designer.core.databinding.xml,8.0.0.r35x201009160634,"com.instantiations.designer.core.databinding.xml",1298722915821
stopped,bundle,com.instantiations.designer.gxt.databinding,8.0.0.r35x201009160831,"com.instantiations.designer.gxt.databinding",1298722915876
stopped,bundle,com.instantiations.designer.rcp.databinding.emf,8.0.0.r35x201009160649,"com.instantiations.designer.rcp.databinding.emf",1298722915949
